Position Title,Date,Apply,Work Model,Location,Company,Company Size,Company Industry,Salary,Qualifications,H1b Sponsored,Is New Grad
Software QA Engineer I (Programmer),2025-03-04,https://jobright.ai/jobs/info/67c7615f6f371335c751368d?utm_source=1100&utm_campaign=Software Engineering,On Site,"Salem, OR",Open Dental Software,251-500,"Health Care,Software",$35-$35 /hr,"1. Bachelor's degree in Computer Engineering or a software programming related field
2. Professional appearance and demeanor
3. Collaborate with other software engineers and support technicians
4. Reproduce, verify, and resolve customer reported issues.
5. Participate in customer support and high level troubleshooting
...",no,
Software Engineer- Entry Level - Must Have Poly,2025-03-04,https://jobright.ai/jobs/info/67c75ee1a7064e789b3fc2d3?utm_source=1100&utm_campaign=Software Engineering,On Site,"Multi Location
Annapolis Junction Maryland
Annapolis Junction, MD",Lockheed Martin,10000+,"Aerospace,Cyber Security",$65300-$115230 /yr,"1. Bachelors degree from an accredited college in a related discipline, or equivalent experience/combined education.
2. TS/SCI with Poly
3. Expose or experience as a Software Engineer with knowledge assisting in the design, development, testing, and debugging of software solutions, with a focus on Linux and Unix operating systems.
4. Familiarity with programming languages such as Java.",no,
IMS-ImageRight- Applications Configuration Specialist,2025-03-04,https://jobright.ai/jobs/info/67c7471abb5bb95e9fd00549?utm_source=1100&utm_campaign=Software Engineering,Remote,United States,One80 Intermediaries,1001-5000,"Consulting,Insurance",$70K-$90K /yr,"1. 1-3 years of experience in a similar role configuring enterprise applications
2. Associate’s or Bachelor’s degree in Information Systems, Business Administration, or a related field, or equivalent experience
3. Familiarity with configuration management, workflows, and basic system administration",not sure,
Software Engineer - Service Platform,2025-03-04,https://jobright.ai/jobs/info/67c28efe22ca75d52d2f07ab?utm_source=1100&utm_campaign=Software Engineering,Hybrid,Greater Seattle Area,Truveta,251-500,"Analytics,Data Management",$94K-$120K /yr,"1. 1+ years of experience with software development in one or more programming languages (e.g., Java, C#, or Python), and with data structures/algorithms
2. Understanding of basic software architecture principles, design patterns, and best practices
3. Excellent problem-solving skills
4. B.S. or M.S. in Computer Science or related field
5. Have proven experience building reliable, secure and scalable software solutions using modern cloud-based paradigms
...",not sure,
Software Engineer - Apple Vision Pro,2025-03-04,https://jobright.ai/jobs/info/67c72ca94895298886bbb064?utm_source=1100&utm_campaign=Software Engineering,On Site,"Sunnyvale, California, United States",Apple,10000+,"Artificial Intelligence (AI),Consumer Electronics",$121900-$214500 /yr,"1. BS in Computer Science, Computer Graphics, or a related field
2. At least 1 years of relevant experience with the following:
3. Programming skills and knowledge of a C Style language (C, C++, Obj-c, or Swift)
4. Proficient in mathematics for 3D games (linear algebra)",not sure,
Firmware Engineer,2025-03-04,https://jobright.ai/jobs/info/67a5a3a32c04c42e7fa06230?utm_source=1100&utm_campaign=Software Engineering,On Site,"Northville, MI",Aperia Technologies,251-500,"Automotive,Enterprise Software",$90K-$120K /yr,"1. Bachelor of Science in Computer Engineering, Electrical Engineering, Robotics Engineering, or Computer Science (other degrees acceptable depending on experience).
2. Curiosity and passion for developing and deploying firmware in products with a preference for the Internet of Things (IoT) space.
3. Proficient with C as used in resource constrained, embedded environments.
4. Budding knowledge of memory management, interrupt service routines, bootloaders, and over-the-air firmware management.
5. Emerging knowledge of common hardware interfaces such as GPIO, SPI, I2C, UART, and NFC.
...",no,
Power Systems Software Engineer,2025-03-04,https://jobright.ai/jobs/info/67ab44248880cd0323943551?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Minneapolis, MN",Aspen Technology,1001-5000,"Industrial,Industrial Automation",$95K-$118K /yr,"1. Bachelor of Science degree in Electrical Engineering, BSEE with Power Systems Emphasis, Mathematics or related technical field.
2. 1+ years of job-specific experience in the power systems domain.
3. Understanding of power systems concepts in generation, transmission, distribution, distributed energy resources (DER)/DER integration and/or outage management
4. Proficiency with analytical tools, e.g., MATLAB, PSLF, CYME, PowerWorld or other similar tools
5. Exposure to Transient Switching studies using EMTP/EMTDC/PSCAD or equivalent software
...",not sure,
"Software Engineer Graduate (Privacy & Security, Online Infra) - 2025 Start (BS/MS)",2025-03-04,https://jobright.ai/jobs/info/67c740393da18f05546146ff?utm_source=1100&utm_campaign=Software Engineering,On Site,"San Jose, CA",TikTok,10000+,"Content Creators,Content Discovery",$112K-$177K /yr,"1. Good understanding of computer principles, competent in the use of various data structures and algorithms, and proficiency in at least one programming language.
2. Excellent logical thinking and analytical skills, able to make reasonable abstraction and layered design for business systems.
3. Excellent communication and collaboration skills, with the ability to work effectively with cross-functional teams.",not sure,yes
"Cloud Support Engineer-Storage and Content Delivery (Japanese Fluency) , AWS Support Engineering",2025-03-04,https://jobright.ai/jobs/info/67c72c3dca3503981f96cc0d?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Seattle, WA",Amazon Web Services (AWS),10000+,"Computer,Consulting",$71K-$159K /yr,"1. 1+ years of software development, or 1+ years of technical support experience.
2. Experience troubleshooting and debugging technical systems.
3. Bachelor’s degree in Engineering/Computer Science/ Mathematics or any related field or a minimum of 1+ years of related professional and/or military experience.
4. Knowledge or experience with system administration, and troubleshooting any operating system (Linux and/or Windows) and networking (HTTP/s, TCP/IP, DNS, OSI model, routing, switching, firewalls, LAN/WAN, traceroute, iperf, dig, CURL or related).
5. Knowledge of storage architectures and types such as file storage, block storage, object storage, and backup/DR strategies.
...",not sure,
Technical Implementation Specialist,2025-03-04,https://jobright.ai/jobs/info/67c724d37fb05b1b8af84a41?utm_source=1100&utm_campaign=Software Engineering,On Site,United States,ImageTrend,101-250,"Big Data,Health Care",$60K-$80K /yr,"1. Assists clients through planning, development, training and execution of delivery for ImageTrend technical solutions, including integration setup, configuration services and cancellations
2. Designs & maintains client implementation schedules, ensuring high quality delivery and compliance to timeframe and requirements by collaborating with stakeholders for all implementation processes
3. Ensures all implementation requirements, objectives, obstacles, and delays are properly documented in all systems of record, including time worked in implementation ticket and closing any project documentation or submission of milestone invoicing as required
4. Contributes to the ongoing maintenance of departmental procedures, CRM or other systems of record, internal demo sites and other internal products used
5. Establishes and maintains great relationships with clients, providing timely, informed, reliable and professional advice about our solutions, and keeping all stakeholders internal or external updated on project status
...",not sure,
"Solution Engineer, Enterprise Acquisition (All Levels)",2025-03-04,https://jobright.ai/jobs/info/679dcd761e88b81d8ed272e8?utm_source=1100&utm_campaign=Software Engineering,On Site,"Multi Location
Dallas County, TX
Ohio, United States
Boston, MA",Snowflake,5001-10000,"Analytics,Artificial Intelligence (AI)",$156K-$289K /yr,"1. Outstanding presenting skills to both technical and executive audiences, whether impromptu on a whiteboard or using presentations and demos.
2. Broad range of experience within large-scale Database and/or Data Warehouse technology, ETL, analytics and cloud technologies
3. Hands-on expertise with SQL and SQL analytics
4. Ability to connect a customer’s specific business problems and Snowflake’s solutions",not sure,
Cloud Support Engineer - Network Monitor and Scale,2025-03-04,https://jobright.ai/jobs/info/677ea96306168383b1636cda?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Multi Location
Seattle, WA
Dallas, TX",Amazon Web Services (AWS),10000+,"Computer,Consulting",$71K-$159K /yr,"1. 1+ years of software development, or 1+ years of technical support experience
2. Experience troubleshooting and debugging technical systems
3. Bachelor’s degree in Engineering/Computer Science/ Mathematics or any related field or a minimum of 1+ years of related professional and/or military experience and basic to intermediate understanding of Computer Networking concepts of OSI or TCP/IP model, Http/Https, TLS, TCP/UDP, IP addressing, troubleshooting network connection and operating system. Understanding of system administration and monitoring system infrastructure.",not sure,
Software Engineer - Engineering Productivity,2025-03-04,https://jobright.ai/jobs/info/6749572564c2552b882d70fb?utm_source=1100&utm_campaign=Software Engineering,On Site,"San Mateo, CA",Verkada,1001-5000,"Enterprise Software,Internet of Things",$130K-$280K /yr,"1. Must have a BS, MS, or PhD in Computer Science, or similar technical field of study
2. Minimum of 1-2 years of experience in a similar position
3. Experience in at least one scripting language (preferably Python)
4. Experience and enthusiasm for learning about new technologies and tooling
5. Comfortable with working at the frontier of infrastructure and software development",not sure,
"Software Autonomy Middleware Engineer - Temporary (R2969, R2970)",2025-03-04,https://jobright.ai/jobs/info/6760d30c2f1bfd34034286af?utm_source=1100&utm_campaign=Software Engineering,On Site,SD Metro Area,Shield AI,501-1000,"Artificial Intelligence (AI),Autonomous Vehicles",$43-$65 /hr,"1. Typically requires 2 years of related experience with a Bachelor’s degree; or 1 year and a Master’s degree; or a PhD without experience; or equivalent work experience.
2. Industry or Internship experience developing C++ software in Linux environment.
3. Strong skills in C++ and Software Engineering.
4. Great written and verbal communication.
5. Demonstrated history of showing ownership of project outcomes and delivering exceptional results.
...",not sure,
Software Engineer (E),2025-03-04,https://jobright.ai/jobs/info/6701ff758bec7c0f446e4c40?utm_source=1100&utm_campaign=Software Engineering,On Site,"Ann Arbor, MI",KLA,10000+,"Electronics,Information Technology",$65K-$111K /yr,"1. Bachelor's Level Degree and 0 years related work experience
2. Outstanding skills and hands on experience with development in C/C++ and Python in a Windows/Linux environment
3. Deep conceptual understanding of multi-threaded, multi process and distributed software systems
4. Experience in object-oriented programming or object-oriented design
5. Good oral and written communications skills to interact with other development and applications engineers on a daily basis",not sure,yes
Web Developer and Designer,2025-03-04,https://jobright.ai/jobs/info/67b1aaaff312b7142b477258?utm_source=1100&utm_campaign=Software Engineering,On Site,"Orlando, FL",Wycliffe Bible Translators USA,1001-5000,"Professional Services,Religion",$43K-$81K /yr,"1. Demonstrate the desire and ability to support corporate biblical and religious goals and participate in regular work-related spiritual activities without reservation (Spiritual Bona Fide Occupational Qualification).
2. Legally authorized to work in the U.S.",no,
CloudLAUNCH – Cloud Engineer,2025-03-04,https://jobright.ai/jobs/info/673bf72fbece9b25faa74ca5?utm_source=1100&utm_campaign=Software Engineering,On Site,"Multi Location
Austin, TX
Nashville, TN",Oracle,10000+,"Data Governance,Data Management",$30-$48 /hr,"1. Bachelor’s degree (GPA of 3.2 or greater) in Computer Science, Information Technology, MIS, or related degree
2. Strong software engineering and project management fundamentals
3. Experience with 2 or more scripting languages (Python, C#, Java, C++, SQL, etc.)
4. Confident communicator with ability to collaborate and present concepts clearly
5. Driven self-starter with strong organizational skills
...",no,
Software Engineer Sinch Identity,2025-03-04,https://jobright.ai/jobs/info/67898f5d1a335c8f4e412079?utm_source=1100&utm_campaign=Software Engineering,Remote,United States,Sinch,1001-5000,"Messaging,Mobile",$123K-$140K /yr,"1. 1+ years' experience as a backend developer working with Golang
2. Ability to communicate well in the user documentation and code.
3. A passion for writing clean and testable code.
4. Being able to help create and drive development and performance metrics against OKRs.
5. A degree in computer science or equivalent.
...",not sure,
Associate Software Engineer C++,2025-03-04,https://jobright.ai/jobs/info/67c706b15f4775944544396e?utm_source=1100&utm_campaign=Software Engineering,On Site,"Manhattan, NY",Rockstar Games,1001-5000,"Gaming,PC Games",$71K-$94K /yr,"1. Knowledge of C/C++ programming language.
2. Experience on a software development team.
3. Proven ability to work with and diagnose unfamiliar code.
4. Ability to accurately and descriptively write bug reports, including reproduction steps.
5. Effective communication skills, research skills, and strong attention to detail.",not sure,
"Software Engineer, Associate",2025-03-04,https://jobright.ai/jobs/info/678f7aa9473f6ed9c740343f?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Annapolis Junction, MD",Peraton,10000+,"Information Technology,Robotics",$86K-$138K /yr,"1. Bachelors degree in Computer Science or related discipline from an accredited college or university is required; Four (4) years of SWE experience on projects with similar software processes may be substituted for a bachelors degree.
2. Active TS SCI security clearance with a current polygraph is required",no,
Software Engineer - Payments,2025-03-04,https://jobright.ai/jobs/info/6749b39e3060123f5b54f41e?utm_source=1100&utm_campaign=Software Engineering,On Site,"San Francisco, CA",Twitch,1001-5000,"Gaming,Media and Entertainment",$100K-$200K /yr,"1. Minimum of Bachelor's degree in Computer Science or prior relevant engineering experiences
2. Strong understanding of data structures, algorithms, data modeling and schema design
3. 1+ years as an software engineer
4. Experience creating detailed technical documentation
5. Proficient experience level in one or more of the following language: Go, Ruby, Java, C++
...",not sure,
"Cloud Support Engineer - Containers, Support Engineering",2025-03-04,https://jobright.ai/jobs/info/67c6e06bbfc39253308dd3f1?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Multi Location
Dallas, TX
Portland, OR
Herndon, VA
Seattle, WA",Amazon Web Services (AWS),10000+,"Computer,Consulting",$71K-$159K /yr,"1. 1+ years of software development, or 1+ years of technical support experience
2. Experience troubleshooting and debugging technical systems
3. Bachelor’s degree in Engineering/Computer Science/ Mathematics or any related field or a minimum of 1+ years of related professional and/or military experience and experience working with any of the container orchestration management tools such as Kubernetes, Docker Swarm.
4. Basic understanding of Container networking.
5. Good understanding of Linux, Networking concepts and protocols (DNS, TCP/IP, DHCP, HTTPS, OSI Model, Filesystems, disk space, Memory, CPU issues, Security, Encryptions etc.).",not sure,
Front-End Engineer I,2025-03-04,https://jobright.ai/jobs/info/67c6ce21c7ba063c1ff92152?utm_source=1100&utm_campaign=Software Engineering,On Site,"Seattle, WA",Amazon,10000+,"Crowdsourcing,Delivery",$100K-$209K /yr,"1. Bachelor's degree in computer science, engineering, mathematics or equivalent
2. Experience (non-internship) in professional front end, web or mobile software development using JavaScript, HTML and CSS",not sure,
Software Engineer - Frontend,2025-03-04,https://jobright.ai/jobs/info/67803199494396bc3dbd6cea?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Mountain View, CA",LinkedIn,10000+,"Professional Networking,Recruiting",$99K-$163K /yr,"1. BA/BS in Computer Science or related technical field or equivalent practical experience
2. 1+ years of industry experience in software design, development, and algorithm related solutions
3. Experience programming in languages such as Javascript, HTML, CSS, Python, Java, etc.",not sure,
Front-End Engineer I,2025-03-04,https://jobright.ai/jobs/info/67c6ba36b501af409b5c60b9?utm_source=1100&utm_campaign=Software Engineering,On Site,"Seattle, Washington, USA",Amazon,10000+,"Crowdsourcing,Delivery",$99500-$209000 /yr,"1. Bachelor's degree in computer science, engineering, mathematics or equivalent
2. Experience (non-internship) in professional front end, web or mobile software development using JavaScript, HTML and CSS",not sure,
Embedded Software Engineer I,2025-03-03,https://jobright.ai/jobs/info/67c6cd6dbac83ad26fef293d?utm_source=1100&utm_campaign=Software Engineering,On Site,"Pleasanton, CA",Abbott,10000+,"Biotechnology,Emergency Medicine",$76K-$124K /yr,"1. Master’s degree/Bachelors degree in a relevant discipline, preferably in Electrical/computer Engineering or computer science or equivalent.",not sure,
Entry Level Embedded Design Engineer,2025-03-03,https://jobright.ai/jobs/info/67c695a21d27d06f0d2f7557?utm_source=1100&utm_campaign=Software Engineering,On Site,"Huntsville, AL",Leidos,10000+,"Computer,Government",$55K-$100K /yr,"1. Bachelors degree in Electrical Engineering, Computer Engineering, or equivalent degree from an ABET-accredited institution with a 3.0 or higher GPA
2. Demonstrated familiarity with programming and/or hardware description languages such as: C, C++, VHDL, Verilog, assembly
3. Knowledge with communication protocols such as: UART, Ethernet, SPI, I2C, CAN bus, etc.
4. Hands-on laboratory experience with instrumentation, test equipment, and debug/test methods
5. Capable of performing in a collaborative engineering environment working closely with multi-disciplinary teams
...",no,
"Full Stack Tech Fellow [Full Time, Summer Contract] - Menlo Park Program",2025-03-03,https://jobright.ai/jobs/info/6764f6ba53f2ea33e55a0ed1?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Menlo Park, CA",CodePath,11-50,"Communities,Education",$30-$45 /hr,"1. 1+ years of formal experience working as a web developer in core technologies
2. Strong understanding of core technologies: React.js, Node.js, and foundational database knowledge. Our ideal candidate has strong familiarity with relational databases (e.g. Postgres, MySQL, etc.)
3. Computer science (or related field) degree, full stack bootcamp certification, or comparable experience working in/learning software development
4. Classroom support experience working with students, troubleshooting issues, and helping debug",not sure,
Associate Software Engineer,2025-03-03,https://jobright.ai/jobs/info/67c67809e74ffc598dae6387?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Brisbane, CA",SquareTrade,501-1000,"Financial Services,Insurance",$85K-$115K /yr,"1. Bachelor’s degree in computer science or related major is required
2. 0-2 years of professional software development experience
3. Proficiency in Python and experience with frameworks like FastAPI, Flask, or Django
4. Knowledge of GenAI models (GPT, LLaMA, etc.) and their applications
5. Familiarity with retrieval mechanisms such as FAISS, or dense vector embeddings
...",no,yes
Language QA Tester - Québécois French,2025-03-03,https://jobright.ai/jobs/info/67c67809e74ffc598dae6405?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Redmond, WA",Nintendo,5001-10000,"Consumer Electronics,Gaming",$28-$44 /hr,"1. 1-3 years of proofreading experience in a high-volume, deadline-oriented setting in Quality Assurance industry.
2. Experience in publishing and/or editing.
3. Ability to identify possible culturalization issues and propose possible solutions.
4. Strong familiarity with Nintendo franchises and awareness of industry trends, especially in target market.
5. Highly organized and be able to manage multiple projects at any given time.
...",no,
Software Developer,2025-03-03,https://jobright.ai/jobs/info/67c65fab144c57927126a6b5?utm_source=1100&utm_campaign=Software Engineering,On Site,"Evansville, IN",University of Southern Indiana,1001-5000,"Alumni,E-Learning",$55K-$55K /yr,"1. Bachelors degree in Computer Science or Computer Information Systems or related field.
2. Proficiency from experience or coursework with database programming with either Oracle PL/SQL or MySQL.
3. Proficiency from experience or coursework with at least one modern programming language such as PHP or Python or similar scripting language.
4. Proficiency with Linux at a user level and shell scripting.
5. Ability to work independently using sound judgment in technical knowledge and problem solving.
...",no,
Quality Assurance Admin,2025-03-03,https://jobright.ai/jobs/info/67c7b297b12b25da0ac83f78?utm_source=1100&utm_campaign=Software Engineering,On Site,"Logan, UT",Fox Pest Control,1001-5000,"Customer Service,Facilities Support Services",$13-$15 /hr,"1. Extremely detail-oriented
2. Self-motivated and content with working consistent processes throughout the day
3. Data entry skills
4. Communication skills - verbal and written
5. Proficiency with computers and various software including Microsoft Office, G Suite, and industry-specific programs.
...",not sure,
Software Developer,2025-03-03,https://jobright.ai/jobs/info/67c665ceaf7016a489e62070?utm_source=1100&utm_campaign=Software Engineering,On Site,"Evansville, IN",University of Southern Indiana,1001-5000,"Alumni,E-Learning",$55000-$55000 /yr,"1. Bachelors degree in Computer Science or Computer Information Systems or related field.
2. Proficiency from experience or coursework with database programming with either Oracle PL/SQL or MySQL.
3. Proficiency from experience or coursework with at least one modern programming language such as PHP or Python or similar scripting language.
4. Proficiency with Linux at a user level and shell scripting.
5. Ability to work independently using sound judgment in technical knowledge and problem solving.
...",no,
ERP Developer & Analyst,2025-03-03,https://jobright.ai/jobs/info/67c661be8fed733c0a2e59df?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Hamel, MN","Tolomatic, Inc.",251-500,"Automotive,Manufacturing",$85000-$93000 /yr,"1. Bachelor’s degree in computer science or a related field.
2. Strong knowledge of C#.Net and SQL.
3. Experience with Version Control systems.
4. Strong analytical and problem-solving skills.
5. Systems development project planning, coordination and controlling capabilities.
...",not sure,
Junior Software Engineer,2025-03-03,https://jobright.ai/jobs/info/67c651cc9cd9152938d2edb6?utm_source=1100&utm_campaign=Software Engineering,On Site,"Multi Location
Columbia, MD
Laurel, MD",Belay Technologies,11-50,"Information Technology,Professional Networking",$70K-$190K /yr,"1. TS/SCI Clearance with polygraph
2. Experience implementing AWS Services in production
3. Experience with On-prem and cloud architecture software implementation
4. Experience with Infrastructure as Code (IaC) development",no,
Software Engineer I,2025-03-03,https://jobright.ai/jobs/info/67c651cc9cd9152938d2ef56?utm_source=1100&utm_campaign=Software Engineering,Remote,United States,Payscale,251-500,"Big Data,Enterprise Software",$94K-$142K /yr,"1. Bachelor's Degree in Computer Science or related discipline and at least 1-3 years of professional experience
2. Web application development: HTML5, CSS, JavaScript, Typescript
3. Framework libraries such as React, Bootstrap, Angular, Express
4. Database persistence and SQL (Postgres preferred)
5. Server-side REST API development using Node.js (preferred), Java or .NET
...",not sure,
"Specialist, LincSmart Integrations",2025-03-03,https://jobright.ai/jobs/info/67c6319a23b2c0176e57cc81?utm_source=1100&utm_campaign=Software Engineering,Remote,"Radnor, PA",Lincoln Financial,5001-10000,"Advice,Finance",$54K-$96K /yr,"1. 1 - 3+ Years of experience in operations and/or insurance/benefits directly aligned to the specific responsibilities of this position.
2. 4 Year/Bachelor's degree or equivalent work experience (4 years of experience in lieu of Bachelor's)",not sure,
Software Engineer,2025-03-03,https://jobright.ai/jobs/info/67c6319a23b2c0176e57cc8b?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Redmond, WA",Microsoft,10000+,"Artificial Intelligence (AI),Data Management",$82K-$175K /yr,"1. Bachelor's Degree in Computer Science, or related technical discipline with proven experience coding in languages including, but not limited to, C, C++, C#, Java, JavaScript, or Python + OR equivalent experience.
2. Experience with the Azure technology stack, including Azure Functions, Azure DevOps, and other cloud-native services.
3. Ability to meet Microsoft, customer and/or government security screening requirements are required for this role. These requirements include but are not limited to the following specialized security screenings: Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud background check upon hire/transfer and every two years thereafter.",no,
Associate Software Engineer,2025-03-03,https://jobright.ai/jobs/info/67c62b05c0a2932cdecc6c24?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Brisbane, CA",SquareTrade,501-1000,"Financial Services,Insurance",$85000-$115000 /yr,"1. Bachelor’s degree in computer science or related major is required
2. 0-2 years of professional software development experience
3. Proficiency in Python and experience with frameworks like FastAPI, Flask, or Django.
4. Knowledge of GenAI models (GPT, LLaMA, etc.) and their applications.
5. Familiarity with retrieval mechanisms such as FAISS, or dense vector embeddings.
...",no,yes
"Software Developer, TS/SCI with Polygraph",2025-03-03,https://jobright.ai/jobs/info/67c604baad52aec7d068cec8?utm_source=1100&utm_campaign=Software Engineering,On Site,USA VA Herndon,General Dynamics Information Technology,10000+,"Artificial Intelligence (AI),Cloud Computing",$91811-$115000 /yr,"1. Top Secret SCI + Polygraph clearance
2. 1+ years of related experience
3. US Citizenship required
4. BA/BS (or equivalent experience)
5. Experience implementing micro services
...",no,
Software Development Engineer 2,2025-03-03,https://jobright.ai/jobs/info/67c60b4ef9d527734d8168a0?utm_source=1100&utm_campaign=Software Engineering,On Site,"San Jose, CA",Adobe,10000+,"Artificial Intelligence (AI),Consulting",$93K-$171K /yr,"1. 1-3 years working in SaaS platforms & technologies
2. Experience planning and implementing architectures for new services or components.
3. Strong core Java or other object oriented languages, design patterns and OOD/OOP skills
4. Knowledge of ORM frameworks like Hibernate
5. Skills in MySQL, PostgreSQL, or other relational databases
...",not sure,
Technical Business Systems Analyst - Entry Level Apprenticeship,2025-03-03,https://jobright.ai/jobs/info/67c5e5feb09ef5bf50448faa?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Burlington, VT",Catalyte,101-250,"Artificial Intelligence (AI),Enterprise Software",$14-$19 /hr,"1. Must be a current Vermont resident
2. Be at least 18 years old
3. Basic proficiency using a computer and the internet
4. Be a U.S. citizen or eligible to work in the U.S. for 30 continuous months from your first day. Catalyte does not offer visa assistance or sponsorship of any kind.
5. Be available to work full-time from approx 9 am-5 pm, Monday-Friday",no,
Digital Enterprise STEP Engineer Associate,2025-03-03,https://jobright.ai/jobs/info/67c5e1119614cd57024dd759?utm_source=1100&utm_campaign=Software Engineering,On Site,"Denver, CO",Sonepar USA,10000+,"Electronics,Manufacturing",$63K-$72K /yr,"1. Bachelor of Science in Engineering, Software Engineering
2. Minimum GPA of 3.0
3. Must be authorized to work for Sonepar in the USA without employment sponsorship now or in the future
4. Possess an enthusiastic/self-starter attitude
5. Highly motivated with a growth mindset
...",no,
Partner Engineer,2025-03-03,https://jobright.ai/jobs/info/67a9c2646c572ee30686c0df?utm_source=1100&utm_campaign=Software Engineering,On Site,"San Francisco, CA",Merge,101-250,"Data Integration,Developer APIs",$125K-$155K /yr,"1. 1+ years in engineering roles, preferably with startup exposure
2. Strong technical understanding and problem solving, preferably in the form of a prior Computer Science background or other engineering orientation
3. Ability to manage responsibilities across different areas such as working cross functionally, debugging and building on APIs, or writing documentation
4. Bias to action & preference for being hands on -- Partner Engineers work on powering mission-critical integrations for our customers, so we’re not afraid to jump in and become owners!
5. Strong communication skills, adept at interfacing with different audiences and communicating complex technical concepts",not sure,
Cloud Support Engineer - Networking,2025-03-03,https://jobright.ai/jobs/info/677cb28cde977a792937fcf8?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Multi Location
Dallas, TX
Herndon, VA
Seattle, WA",Amazon Web Services (AWS),10000+,"Computer,Consulting",$71K-$159K /yr,"1. 1+ years of software development, or 1+ years of technical support experience
2. Experience troubleshooting and debugging technical systems
3. Bachelor’s degree in Engineering/Computer Science/ Mathematics or any related field a minimum of 1+ years of related professional and/or military experience and knowledge or experience with system administration, and troubleshooting any operating system (Linux and/or Windows) and networking (HTTP/s, TCP/IP, DNS, OSI model, routing, switching, load balancing, firewalls, LAN/WAN, traceroute, iperf, dig, CURL, mtr, ping, iperf, dig/nslookup, cURL, tcpdump/wireshark and related)
4. Networking OSI model with understanding of protocols such as VLAN, IPSEC, TCP, SSL, DNS, OSPF and BGP and understanding of virtualization (Hypervisors, VMware, Xen)",not sure,
Software Engineer - iOS,2025-03-03,https://jobright.ai/jobs/info/67571f100581f2146ddd6e02?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Mountain View, CA",LinkedIn,10000+,"Professional Networking,Recruiting",$99K-$163K /yr,"1. BA/BS in Computer Science or related technical field or equivalent practical experience.
2. 1+ years of industry experience
3. Programming experience in languages such as Java, C/C++, Python, Objective-C, Swift, etc.",not sure,
Software Developers,2025-03-02,https://jobright.ai/jobs/info/67cbd76dabb6eff427f13fa2?utm_source=1100&utm_campaign=Software Engineering,On Site,"Newark, CA",Service Oriented Solutions LLC,11-50,"Cloud Computing,Information Technology",$155605-$155605 /yr,"1. Experience: Unspecified
2. Education: Unspecified
3. May travel to various sites in the U.S and Telecommute.",not sure,
Software Developer Graduate (Routing Verification & Emulation) - 2025 Start (PhD),2025-03-02,https://jobright.ai/jobs/info/67c51caa8c37a34d8e0811d0?utm_source=1100&utm_campaign=Software Engineering,On Site,"San Jose, CA",ByteDance,10000+,"Content,Data Mining",$145K-$250K /yr,"1. Ph.D with networking research experience.
2. Strong networking and distributed system background with solid understanding of routing protocols, network device configurations; experience in large scale networking system development is a plus;
3. Hands on experience in container networking or in applying container techniques for network testing/emulation; deep understanding of operating system and virtualization is a plus;
4. Master of at least one of the mainstream coding languages including Python, Java, Rust, Scala, Go, C++, etc, and capability to read and understand others;
5. Great verbal and written communication skills.",not sure,yes
Software Development Engineer (SDN Traffic Intelligence & Control) -2025 Start (PhD),2025-03-02,https://jobright.ai/jobs/info/67c51caa8c37a34d8e0811ac?utm_source=1100&utm_campaign=Software Engineering,On Site,"Seattle, WA",ByteDance,10000+,"Content,Data Mining",$138K-$238K /yr,"1. Current year or recent PhD graduate with a background in computer science, network engineering or a related field.
2. Proficiency in at least one programming language, such as Go, C++, or Python, with a strong foundation in designing and developing distributed systems.
3. In-depth understanding of networking protocols and the TCP/IP stack.
4. Practical or research experience in the areas of bandwidth management or distributed rate limiting systems/algorithms will be considered particularly favorable.",not sure,
Software Engineer I - iOS,2025-03-02,https://jobright.ai/jobs/info/6781db2cea0e47a286e8f0f2?utm_source=1100&utm_campaign=Software Engineering,On Site,"Multi Location
Seattle, WA
San Francisco, CA
New York, NY",Twitch,1001-5000,"Gaming,Media and Entertainment",$100K-$200K /yr,"1. 1+ years of mobile development experience
2. Proficiency with Swift or Objective-C, and the iOS development ecosystem
3. Experience with data structures, algorithms, data modeling and schema design
4. Experience working with iOS specific development tools, such as XCode, RxSwift, CocoaPods, Firebase, or Swift Package Manager.
5. Experience on a mobile engineering team partnering with other engineering teams, and communicating complicated technical problems to both technical and business audiences",not sure,
